name,rating,industry,location,salary
TCS,3.4,IT Services & Consulting,Bangalore / Bengaluru +432 other locations,1.1L
Accenture,3.7,IT Services & Consulting,Bangalore / Bengaluru +245 other locations,68.1k
Wipro,3.7,IT Services & Consulting,Hyderabad / Secunderabad +367 other locations,61k
Cognizant,3.7,IT Services & Consulting,Hyderabad / Secunderabad +225 other locations,57.9k
Capgemini,3.7,IT Services & Consulting,Bangalore / Bengaluru +180 other locations,49.6k
HDFC Bank,3.8,Banking,Mumbai +1783 other locations,48k
Infosys,3.5,IT Services & Consulting,Bangalore / Bengaluru +239 other locations,45.6k
ICICI Bank,4.0,Banking,Mumbai +1417 other locations,43.7k
HCLTech,3.4,IT Services & Consulting,Chennai +223 other locations,42.7k
Tech Mahindra,3.4,IT Services & Consulting,Hyderabad / Secunderabad +328 other locations,40.8k
Genpact,3.6,IT Services & Consulting,Hyderabad / Secunderabad +175 other locations,39.1k
Teleperformance,3.8,BPO,Mumbai +251 other locations,35k
Axis Bank,3.7,Banking,Mumbai +1481 other locations,31k
Concentrix Corporation,3.6,BPO,Bangalore / Bengaluru +175 other locations,30.4k
Jio,4.3,Telecom,Mumbai +1787 other locations,29.8k
Amazon,4.0,Internet,Bangalore / Bengaluru +512 other locations,29.4k
iEnergizer,4.6,BPO,Noida +49 other locations,26.9k
Reliance Retail,3.9,Retail,Mumbai +1128 other locations,26k
IBM,3.9,IT Services & Consulting,Bangalore / Bengaluru +159 other locations,24.7k
LTIMindtree,3.6,IT Services & Consulting,Bangalore / Bengaluru +138 other locations,24.2k
HDB Financial Services,3.9,NBFC,Mumbai +1068 other locations,24.1k
Larsen & Toubro Limited,3.9,Engineering & Construction,Chennai +737 other locations,22.2k
Deloitte,3.7,Management Consulting,Hyderabad / Secunderabad +179 other locations,21.4k
Kotak Mahindra Bank,3.6,Banking,Mumbai +672 other locations,20.9k
Reliance Industries,4.0,Oil & Gas,Jamnagar +797 other locations,19k
Vodafone Idea,4.0,Telecom,Pune +695 other locations,17k
BYJU'S,3.1,EdTech,Bangalore / Bengaluru +322 other locations,16.6k
Bharti Airtel,3.9,Telecom,Gurgaon / Gurugram +775 other locations,16.2k
WNS,3.3,BPO,Pune +60 other locations,14.2k
AU Small Finance Bank,4.1,Banking,Jaipur +756 other locations,13.4k
Tata Motors,4.1,Automobile,Pune +498 other locations,13.4k
IndusInd Bank,3.4,Banking,Mumbai +780 other locations,13.2k
Ernst & Young,3.4,Management Consulting,Bangalore / Bengaluru +127 other locations,13.2k
IDFC FIRST Bank,3.9,Banking,Mumbai +701 other locations,13.1k
Flipkart,3.9,Internet,Bangalore / Bengaluru +550 other locations,12.2k
Bajaj Finserv,4.0,Financial Services,Pune +1122 other locations,11.8k
DXC Technology,3.6,IT Services & Consulting,Bangalore / Bengaluru +133 other locations,11.4k
PwC,3.3,Management Consulting,Bangalore / Bengaluru +128 other locations,11.4k
Infosys BPM,3.5,BPO,Bangalore / Bengaluru +90 other locations,11.3k
Mahindra & Mahindra,4.0,Automobile,Pune +549 other locations,11.3k
HDFC Life,3.9,Insurance,Mumbai +680 other locations,11.1k
Muthoot FinCorp,4.5,NBFC,Bangalore / Bengaluru +1029 other locations,10.3k
Bandhan Bank,3.7,Banking,Kolkata +971 other locations,9.9k
Conneqt Business Solutions,3.6,BPO,Hyderabad / Secunderabad +259 other locations,9.9k
Mphasis,3.3,IT Services & Consulting,Bangalore / Bengaluru +61 other locations,9.7k
Yes Bank,3.7,Banking,Mumbai +529 other locations,9.4k
Tata Steel,4.0,Iron & Steel,Jamshedpur +223 other locations,9.3k
Quess,3.8,IT Services & Consulting,Bangalore / Bengaluru +710 other locations,9k
Startek,3.1,BPO,Bangalore / Bengaluru +102 other locations,8.9k
Asian Paints,3.9,Chemicals,Mumbai +531 other locations,8.8k
Paytm,3.2,FinTech,Noida +403 other locations,8.8k
UltraTech Cement,4.1,Building Material,Mumbai +525 other locations,8.7k
Shriram Finance,4.0,NBFC,Chennai +1082 other locations,8.5k
Maruti Suzuki,4.2,Automobile,Gurgaon / Gurugram +435 other locations,8.5k
Bajaj Finance,3.9,NBFC,Pune +931 other locations,8.3k
Sutherland Global Services,3.4,BPO,Chennai +77 other locations,8.3k
EXL Service,3.6,IT Services & Consulting,Noida +60 other locations,8.2k
Samsung,3.9,Consumer Electronics & Appliances,Noida +566 other locations,8.1k
Cipla,4.1,Pharma,Mumbai +286 other locations,8.1k
Ericsson,4.0,Telecom,Bangalore / Bengaluru +161 other locations,8.1k
Wells Fargo,3.7,Financial Services,Bangalore / Bengaluru +28 other locations,7.9k
Dr. Reddy's,4.0,Pharma,Hyderabad / Secunderabad +208 other locations,7.8k
HGS,3.7,BPO,Bangalore / Bengaluru +120 other locations,7.4k
Optum Global Solutions,4.0,IT Services & Consulting,Hyderabad / Secunderabad +64 other locations,7.4k
ICICI Prudential Life Insurance,4.0,Insurance,Mumbai +501 other locations,7.3k
Delhivery,3.8,Logistics,Gurgaon / Gurugram +727 other locations,7.3k
